id,code,name,sequence
edu_time_section_1,Сем1,Семестр 1,1
edu_time_section_2,Сем2,Семестр 2,2
edu_time_section_3,Сем3,Семестр 3,3
edu_time_section_4,Сем4,Семестр 4,4
edu_time_section_5,Сем5,Семестр 5,5
edu_time_section_6,Сем6,Семестр 6,6
edu_time_section_7,Сем7,Семестр 7,7
edu_time_section_8,Сем8,Семестр 8,8
edu_time_section_9,Сем9,Семестр 9,9
edu_time_section_10,Сем10,Семестр 10,10
edu_time_section_11,Сем11,Семестр 11,11
edu_time_section_12,Сем12,Семестр 12,12
edu_time_section_13,Сем13,Семестр 13,13
edu_time_section_14,Сем14,Семестр 14,14
edu_time_section_15,УчГод1,Год 1,15
edu_time_section_16,УчГод2,Год 2,16
edu_time_section_17,УчГод3,Год 3,17
edu_time_section_18,УчГод4,Год 4,18
edu_time_section_19,УчГод5,Год 5,19
edu_time_section_20,УчГод6,Год 6,20
edu_time_section_21,УчГод7,Год 7,21
